DTXSID,scaffold_split,random_split
DTXSID9020245,train,val
DTXSID4020246,train,train
DTXSID9020247,train,train
DTXSID4020248,train,train
DTXSID9020249,train,train
DTXSID8020250,train,train
DTXSID8020252,train,train
DTXSID3020253,train,train
DTXSID8020256,train,train
DTXSID3020257,train,val
DTXSID2020260,train,train
DTXSID7020261,train,train
DTXSID2020262,train,train
DTXSID7020263,train,train
DTXSID7020265,train,train
DTXSID2020266,train,train
DTXSID7020267,val,train
DTXSID2020268,train,train
DTXSID6020274,train,train
DTXSID1020275,train,train
DTXSID6020276,val,val
DTXSID6020278,train,test
DTXSID1020279,train,train
DTXSID0020280,train,val
DTXSID5020281,train,val
DTXSID0020282,train,train
DTXSID5020283,train,train
DTXSID0020284,train,train
DTXSID0020286,train,val
DTXSID5020287,train,train
DTXSID0020288,train,train
DTXSID4020290,test,train
DTXSID4020292,train,train
DTXSID9020293,train,train
DTXSID4020294,train,train
DTXSID9020295,train,train
DTXSID4020298,train,test
DTXSID9020299,train,train
DTXSID1020300,train,test
DTXSID6020303,train,test
DTXSID1020306,train,train
DTXSID6020307,train,val
DTXSID1020308,train,val
DTXSID6020309,train,train
DTXSID5020310,train,train
DTXSID0020311,train,train
DTXSID5020312,val,train
DTXSID5020314,train,train
DTXSID0020315,train,test
DTXSID0020319,train,train
DTXSID4020321,train,train
DTXSID9020322,train,train
DTXSID4020325,train,train
DTXSID4020327,train,val
DTXSID9020328,train,val
DTXSID4020329,train,train
DTXSID3020330,test,train
DTXSID8020331,train,train
DTXSID3020336,train,train
DTXSID8020337,train,train
DTXSID2020341,train,train
DTXSID7020342,val,val
DTXSID7020344,test,train
DTXSID2020345,train,train
DTXSID2020347,train,val
DTXSID7020348,train,test
DTXSID2020349,train,test
DTXSID1020350,train,train
DTXSID1020352,train,val
DTXSID1020354,train,train
DTXSID6020355,train,train
DTXSID6020357,val,train
DTXSID1020358,test,train
DTXSID6020359,train,val
DTXSID5020360,val,train
DTXSID0020361,train,val
DTXSID0020363,test,train
DTXSID0020365,test,test
DTXSID5020366,val,train
DTXSID0020367,train,train
DTXSID5020368,train,train
DTXSID0020369,train,test
DTXSID9020370,train,train
DTXSID4020371,train,val
DTXSID9020372,train,train
DTXSID4020373,train,train
DTXSID9020374,train,train
DTXSID4020375,train,train
DTXSID9020378,test,val
DTXSID4020379,train,train
DTXSID3020380,train,train
DTXSID8020381,train,train
DTXSID8020383,train,train
DTXSID3020384,train,val
DTXSID7020390,train,val
DTXSID2020391,train,train
DTXSID7020392,train,train
DTXSID7020398,train,val
DTXSID2020399,train,test
DTXSID4020400,train,train
DTXSID9020401,train,train
DTXSID4020402,train,train
DTXSID4020406,train,train
DTXSID9020407,train,train
DTXSID9020409,val,test
DTXSID8020410,val,train
DTXSID3020413,train,train
DTXSID3020415,train,train
DTXSID3020419,train,train
DTXSID2020420,train,train
DTXSID7020421,train,train
DTXSID7020423,train,train
DTXSID2020424,train,train
DTXSID7020425,train,train
DTXSID2020426,train,val
DTXSID7020427,train,train
DTXSID2020428,train,train
DTXSID6020430,train,train
DTXSID1020431,train,train
DTXSID6020432,train,val
DTXSID6020434,train,train
DTXSID1020437,train,train
DTXSID6020438,train,train
DTXSID1020439,train,train
DTXSID0020440,train,test
DTXSID5020441,train,train
DTXSID0020442,train,train
DTXSID5020443,train,val
DTXSID0020444,train,val
DTXSID5020445,train,train
DTXSID0020446,train,val
DTXSID5020447,train,train
DTXSID0020448,train,train
DTXSID5020449,train,train
DTXSID4020450,train,test
DTXSID9020451,val,train
DTXSID4020452,test,train
DTXSID9020453,val,train
DTXSID4020458,train,train
DTXSID9020459,train,train
DTXSID8020462,train,test
DTXSID3020463,train,train
DTXSID8020464,train,train
DTXSID3020465,train,train
DTXSID8020466,train,val
DTXSID8020468,train,test
DTXSID3020469,test,test
DTXSID2020470,test,train
DTXSID2020474,val,train
DTXSID2020478,val,train
DTXSID7020479,train,val
DTXSID6020480,train,test
DTXSID1020483,train,train
DTXSID6020484,train,train
DTXSID1020485,train,val
DTXSID5020491,train,train
DTXSID5020493,train,train
DTXSID0020494,train,train
DTXSID5020497,train,train
DTXSID0020498,train,val
DTXSID5020499,train,train
DTXSID2020501,train,test
DTXSID7020504,train,train
DTXSID2020505,train,train
DTXSID2020507,train,train
DTXSID7020508,train,train
DTXSID2020509,train,train
DTXSID1020510,val,val
DTXSID6020511,train,train
DTXSID1020512,train,train
DTXSID6020515,train,test
DTXSID1020516,train,val
DTXSID6020517,train,val
DTXSID5020520,train,train
DTXSID0020523,train,train
DTXSID0020527,train,train
DTXSID5020528,train,train
DTXSID0020529,train,train
DTXSID4020533,train,train
DTXSID4020535,val,train
DTXSID4020537,train,train
DTXSID9020538,val,test
DTXSID4020539,train,test
DTXSID3020540,val,train
DTXSID8020541,test,train
DTXSID8020543,train,val
DTXSID8020545,train,val
DTXSID3020546,train,train
DTXSID3020548,train,train
DTXSID7020550,train,train
DTXSID7020552,train,train
DTXSID2020557,test,val
DTXSID7020558,test,val
DTXSID1020560,test,train
DTXSID1020562,train,val
DTXSID1020566,train,train
DTXSID6020569,train,val
DTXSID5020572,train,train
DTXSID0020573,train,train
DTXSID0020575,train,train
DTXSID5020576,train,val
DTXSID0020577,train,train
DTXSID9020580,train,train
DTXSID4020581,train,val
DTXSID9020582,val,val
DTXSID4020583,train,train
DTXSID9020584,train,train
DTXSID4020587,train,val
DTXSID4020589,train,train
DTXSID8020591,train,val
DTXSID8020593,train,train
DTXSID3020596,train,train
DTXSID8020597,train,train
DTXSID3020598,val,train
DTXSID5020601,test,test
DTXSID0020602,train,train
DTXSID5020603,train,val
DTXSID0020604,val,train
DTXSID5020605,train,train
DTXSID0020606,train,train
DTXSID5020607,train,train
DTXSID4020612,train,train
DTXSID4020614,train,train
DTXSID9020615,test,train
DTXSID4020616,test,val
DTXSID9020617,train,train
DTXSID4020618,val,test
DTXSID8020620,train,train
DTXSID3020621,val,train
DTXSID3020625,test,train
DTXSID8020626,test,val
DTXSID3020627,train,train
DTXSID8020628,train,val
DTXSID3020629,train,train
DTXSID7020631,train,val
DTXSID2020634,train,train
DTXSID7020635,train,val
DTXSID2020636,test,train
DTXSID6020646,train,train
DTXSID1020647,train,val
DTXSID6020648,test,val
DTXSID0020650,train,train
DTXSID0020652,train,train
DTXSID5020653,train,train
DTXSID0020654,train,test
DTXSID0020656,test,test
DTXSID5020659,train,train
DTXSID9020663,train,train
DTXSID4020664,train,train
DTXSID4020666,train,train
DTXSID9020667,train,train
DTXSID4020668,test,train
DTXSID9020669,val,val
DTXSID3020671,train,train
DTXSID3020673,train,train
DTXSID8020674,val,test
DTXSID8020678,test,train
DTXSID3020679,val,train
DTXSID2020680,train,train
DTXSID7020681,train,train
DTXSID2020682,train,train
DTXSID7020683,train,train
DTXSID2020684,train,train
DTXSID2020688,val,test
DTXSID7020689,train,val
DTXSID6020690,train,train
DTXSID6020692,val,train
DTXSID6020694,train,train
DTXSID6020696,train,train
DTXSID1020697,train,train
DTXSID1020699,train,test
DTXSID3020700,train,test
DTXSID3020704,train,test
DTXSID3020706,train,val
DTXSID8020707,train,train
DTXSID3020708,train,train
DTXSID7020710,test,train
DTXSID2020713,train,train
DTXSID7020714,train,val
DTXSID7020716,train,test
DTXSID2020717,train,train
DTXSID6020721,train,train
DTXSID1020728,train,train
DTXSID5020730,train,train
DTXSID5020732,train,train
DTXSID0020733,val,test
DTXSID0020737,train,test
DTXSID5020738,train,train
DTXSID9020740,val,val
DTXSID9020742,train,train
DTXSID4020743,train,test
DTXSID4020745,test,train
DTXSID4020749,train,train
DTXSID3020750,train,train
DTXSID3020752,train,train
DTXSID8020753,train,train
DTXSID8020755,train,train
DTXSID3020756,train,train
DTXSID8020757,train,val
DTXSID8020759,train,train
DTXSID7020760,train,val
DTXSID2020761,train,train
DTXSID7020762,train,train
DTXSID7020764,train,train
DTXSID7020766,train,train
DTXSID2020767,train,train
DTXSID7020768,train,test
DTXSID1020770,test,train
DTXSID6020771,train,train
DTXSID6020777,val,test
DTXSID1020778,train,train
DTXSID6020779,train,test
DTXSID5020782,train,test
DTXSID5020784,train,train
DTXSID9020790,train,train
DTXSID4020791,train,train
DTXSID9020792,test,val
DTXSID9020796,val,train
DTXSID6020802,train,train
DTXSID1020803,test,train
DTXSID6020804,train,train
DTXSID1020805,train,train
DTXSID1020807,train,train
DTXSID1020809,train,test
DTXSID0020810,test,train
DTXSID0020814,train,train
DTXSID5020815,val,train
DTXSID0020818,test,train
DTXSID5020819,val,train
DTXSID4020820,test,train
DTXSID9020821,train,train
DTXSID4020822,train,val
DTXSID9020825,val,train
DTXSID4020826,train,train
DTXSID9020827,train,train
DTXSID9020829,train,train
DTXSID8020830,train,train
DTXSID3020833,train,test
DTXSID8020834,train,train
DTXSID3020835,train,train
DTXSID8020838,train,test
DTXSID7020841,val,train
DTXSID7020843,train,train
DTXSID2020844,train,val
DTXSID7020845,train,train
DTXSID2020846,train,val
DTXSID7020847,train,train
DTXSID1020855,train,train
DTXSID6020856,train,train
DTXSID1020857,train,train
DTXSID1020859,train,train
DTXSID5020861,train,train
DTXSID0020862,test,test
DTXSID5020863,train,train
DTXSID5020865,train,val
DTXSID5020867,train,train
DTXSID0020868,train,train
DTXSID5020869,train,train
DTXSID4020870,train,train
DTXSID4020876,train,test
DTXSID9020877,train,test
DTXSID4020878,train,train
DTXSID8020886,test,train
DTXSID3020887,train,train
DTXSID8020888,train,val
DTXSID3020889,train,train
DTXSID2020890,train,train
DTXSID2020892,train,train
DTXSID7020893,train,train
DTXSID2020894,train,train
DTXSID7020895,test,val
DTXSID7020897,train,test
DTXSID2020898,test,train
DTXSID4020901,train,train
DTXSID9020902,test,val
DTXSID3020910,train,train
DTXSID8020911,train,test
DTXSID3020912,test,val
DTXSID8020913,train,train
DTXSID3020914,train,train
DTXSID8020915,train,val
DTXSID3020916,train,test
DTXSID8020917,train,val
DTXSID3020918,val,train
DTXSID8020919,train,train
DTXSID7020920,train,train
DTXSID2020921,train,train
DTXSID7020922,train,val
DTXSID2020923,val,train
DTXSID2020927,train,train
DTXSID2020929,train,test
DTXSID1020930,val,test
DTXSID1020932,train,train
DTXSID6020933,train,train
DTXSID6020939,train,train
DTXSID0020943,train,train
DTXSID5020944,train,val
DTXSID5020946,train,val
DTXSID5020948,val,train
DTXSID9020956,train,train
DTXSID4020957,train,train
DTXSID9020958,train,val
DTXSID4020959,train,train
DTXSID3020960,val,train
DTXSID8020961,train,train
DTXSID3020962,train,train
DTXSID8020963,train,train
DTXSID3020964,train,val
DTXSID8020965,train,train
DTXSID3020966,train,val
DTXSID8020967,train,train
DTXSID8020969,train,train
DTXSID7020970,train,train
DTXSID2020971,train,train
DTXSID7020972,val,train
DTXSID2020977,train,train
DTXSID7020978,train,train
DTXSID1020980,train,train
DTXSID6020981,train,train
DTXSID1020982,train,test
DTXSID6020983,train,train
DTXSID1020984,train,train
DTXSID6020985,train,train
DTXSID4021002,train,train
DTXSID4021006,train,test
DTXSID2021022,train,train
DTXSID2021026,train,train
DTXSID7021027,train,train
DTXSID2021028,train,train
DTXSID7021029,train,train
DTXSID6021030,train,train
DTXSID1021031,train,train
DTXSID6021032,train,train
DTXSID6021036,train,train
DTXSID1021039,train,val
DTXSID0021040,train,train
DTXSID9021053,train,train
DTXSID4021056,train,train
DTXSID9021059,train,train
DTXSID8021060,train,train
DTXSID8021062,train,train
DTXSID3021065,train,train
DTXSID3021069,val,train
DTXSID2021070,test,train
DTXSID6021080,train,train
DTXSID1021081,val,train
DTXSID6021082,train,train
DTXSID6021086,train,val
DTXSID1021087,train,test
DTXSID1021089,val,train
DTXSID5021093,train,train
DTXSID0021094,train,val
DTXSID0021096,test,train
DTXSID5021097,train,train
DTXSID7021100,train,train
DTXSID7021102,train,train
DTXSID2021103,train,train
DTXSID7021104,train,train
DTXSID2021105,train,train
DTXSID7021106,train,test
DTXSID1021114,val,train
DTXSID1021116,train,train
DTXSID6021117,train,val
DTXSID1021118,test,train
DTXSID5021120,train,test
DTXSID0021121,train,train
DTXSID5021122,train,train
DTXSID0021123,test,val
DTXSID5021124,train,train
DTXSID0021125,train,test
DTXSID5021126,train,train
DTXSID0021127,test,test
DTXSID5021128,train,train
DTXSID0021129,train,train
DTXSID9021130,train,test
DTXSID4021131,val,train
DTXSID9021132,train,train
DTXSID4021133,val,val
DTXSID9021134,train,train
DTXSID4021135,train,test
DTXSID9021136,train,train
DTXSID4021137,train,train
DTXSID9021138,train,test
DTXSID3021140,train,train
DTXSID3021142,train,val
DTXSID3021144,train,train
DTXSID8021145,train,train
DTXSID8021147,train,train
DTXSID7021150,train,train
DTXSID2021151,train,train
DTXSID7021152,train,train
DTXSID7021156,train,train
DTXSID7021158,train,val
DTXSID2021159,train,train
DTXSID1021160,train,train
DTXSID1021162,val,train
DTXSID6021163,test,train
DTXSID1021164,train,train
DTXSID6021165,train,train
DTXSID1021166,train,test
DTXSID1021168,train,train
DTXSID5021170,val,train
DTXSID0021179,train,train
DTXSID4021181,test,train
DTXSID9021182,test,val
DTXSID9021184,train,train
DTXSID4021185,train,train
DTXSID9021188,train,train
DTXSID4021189,train,train
DTXSID8021191,train,train
DTXSID3021192,train,train
DTXSID8021193,train,train
DTXSID8021195,test,test
DTXSID3021196,train,train
DTXSID8021197,train,train
DTXSID3021198,train,val
DTXSID8021199,train,train
DTXSID5021201,train,train
DTXSID0021206,train,val
DTXSID5021209,train,train
DTXSID4021212,train,train
DTXSID4021214,train,val
DTXSID9021215,train,train
DTXSID4021216,train,train
DTXSID9021217,val,train
DTXSID4021218,train,val
DTXSID3021221,val,val
DTXSID8021222,test,train
DTXSID3021223,test,val
DTXSID8021224,test,train
DTXSID7021231,train,val
DTXSID2021232,val,val
DTXSID7021233,train,test
DTXSID2021234,train,train
DTXSID7021235,train,train
DTXSID2021236,train,train
DTXSID7021237,train,train
DTXSID2021238,train,val
DTXSID7021239,train,train
DTXSID6021240,train,train
DTXSID1021241,train,train
DTXSID1021243,train,train
DTXSID6021244,test,test
DTXSID6021246,val,test
DTXSID1021247,val,test
DTXSID6021248,val,test
DTXSID5021251,val,test
DTXSID0021254,train,val
DTXSID5021255,train,train
DTXSID0021256,val,train
DTXSID0021258,val,test
DTXSID4021260,train,train
DTXSID9021267,train,val
DTXSID4021268,train,test
DTXSID8021270,train,train
DTXSID3021275,train,test
DTXSID3021277,train,train
DTXSID8021278,train,train
DTXSID2021282,train,test
DTXSID2021284,train,train
DTXSID2021286,train,train
DTXSID7021287,train,train
DTXSID2021288,train,train
DTXSID7021289,train,train
DTXSID6021290,train,train
DTXSID6021292,test,test
DTXSID6021294,val,test
DTXSID6021296,train,train
DTXSID1021299,train,val
DTXSID8021301,train,train
DTXSID3021304,train,train
DTXSID8021305,train,train
DTXSID8021309,train,train
DTXSID2021311,train,train
DTXSID7021312,train,train
DTXSID7021314,train,train
DTXSID2021315,val,train
DTXSID7021316,train,train
DTXSID2021317,train,train
DTXSID7021318,train,train
DTXSID2021319,train,val
DTXSID1021320,train,train
DTXSID6021321,train,train
DTXSID1021322,train,train
DTXSID6021327,test,val
DTXSID1021328,train,train
DTXSID5021330,train,train
DTXSID5021332,train,val
DTXSID0021333,train,train
DTXSID5021334,train,train
DTXSID5021336,train,val
DTXSID0021337,val,train
DTXSID5021338,train,train
DTXSID0021339,test,train
DTXSID9021340,train,test
DTXSID4021341,train,train
DTXSID4021343,train,train
DTXSID9021344,train,train
DTXSID9021346,train,test
DTXSID4021347,train,train
DTXSID9021348,train,train
DTXSID3021356,train,val
DTXSID3021358,val,val
DTXSID8021359,train,train
DTXSID7021360,train,train
DTXSID7021362,train,train
DTXSID2021363,train,train
DTXSID7021364,train,train
DTXSID2021365,train,val
DTXSID7021366,train,train
DTXSID2021367,train,train
DTXSID6021371,train,val
DTXSID1021372,train,train
DTXSID6021373,val,train
DTXSID1021374,train,train
DTXSID6021375,train,val
DTXSID6021377,train,val
DTXSID1021378,train,train
DTXSID6021379,train,train
DTXSID5021380,train,train
DTXSID0021381,train,train
DTXSID0021383,train,val
DTXSID5021384,train,train
DTXSID0021385,train,train
DTXSID5021386,train,train
DTXSID0021387,train,val
DTXSID5021388,train,val
DTXSID0021389,train,train
DTXSID9021390,train,val
DTXSID9021392,train,train
DTXSID4021393,train,train
DTXSID4021395,train,train
DTXSID9021396,val,train
DTXSID4021397,test,val
DTXSID9021398,train,train
DTXSID6021402,train,val
DTXSID1021403,train,val
DTXSID6021404,train,train
DTXSID1021405,train,train
DTXSID6021408,train,train
DTXSID1021409,train,train
DTXSID0021410,val,train
DTXSID5021411,train,train
DTXSID5021413,train,train
DTXSID0021414,train,val
DTXSID5021415,train,train
DTXSID0021418,train,train
DTXSID4021424,train,train
DTXSID9021425,test,train
DTXSID4021426,train,val
DTXSID9021427,train,train
DTXSID3021431,train,train
DTXSID3021437,train,test
DTXSID8021438,train,train
DTXSID2021440,train,train
DTXSID2021442,train,test
DTXSID2021448,train,train
DTXSID1021455,train,val
DTXSID6021456,train,test
DTXSID6021458,train,train
DTXSID0021460,val,train
DTXSID0021464,train,val
DTXSID4021472,train,train
DTXSID4021478,train,train
DTXSID9021479,train,train
DTXSID8021482,train,train
DTXSID3021483,train,train
DTXSID8021484,train,test
DTXSID3021485,train,train
DTXSID3021487,train,val
DTXSID8021488,train,train
DTXSID7021491,train,train
DTXSID2021492,train,val
DTXSID7021493,train,train
DTXSID7021495,train,train
DTXSID2021496,train,train
DTXSID2021498,train,train
DTXSID7021499,train,val
DTXSID4021503,train,train
DTXSID8021513,train,train
DTXSID8021515,train,train
DTXSID3021516,train,train
DTXSID8021517,train,test
DTXSID8021519,train,val
DTXSID7021520,train,train
DTXSID7021524,train,train
DTXSID7021526,train,train
DTXSID1021530,train,train
DTXSID0021543,train,test
DTXSID5021544,train,test
DTXSID0021545,train,train
DTXSID5021546,train,train
DTXSID0021547,train,test
DTXSID9021552,train,train
DTXSID4021553,train,train
DTXSID9021554,train,train
DTXSID4021557,train,train
DTXSID4021559,train,val
DTXSID8021561,train,train
DTXSID3021562,train,train
DTXSID8021563,train,val
DTXSID8021565,train,val
DTXSID2021575,train,test
DTXSID7021576,train,train
DTXSID2021577,train,train
DTXSID6021581,train,train
DTXSID6021583,train,train
DTXSID1021584,train,train
DTXSID6021585,train,train
DTXSID1021586,train,train
DTXSID5021590,train,train
DTXSID0021597,train,train
DTXSID5021598,train,train
DTXSID0021599,train,train
DTXSID2021600,train,train
DTXSID7021601,train,train
DTXSID2021602,train,val
DTXSID7021603,train,train
DTXSID2021604,train,val
DTXSID7021605,train,train
DTXSID7021607,train,test
DTXSID2021608,train,train
DTXSID6021610,train,train
DTXSID1021615,train,test
DTXSID1021617,train,test
DTXSID6021618,train,train
DTXSID1021619,train,train
DTXSID0021620,train,train
DTXSID5021621,train,test
DTXSID0021626,train,train
DTXSID5021627,train,val
DTXSID5021629,train,train
DTXSID9021631,val,val
DTXSID4021632,train,train
DTXSID9021633,train,train
DTXSID4021634,train,train
DTXSID9021635,train,train
DTXSID4021636,train,train
DTXSID9021637,train,train
DTXSID4021638,train,train
DTXSID9021639,train,train
DTXSID8021640,train,train
DTXSID3021641,train,train
DTXSID8021642,train,train
DTXSID3021643,train,test
DTXSID8021644,train,train
DTXSID3021645,train,test
DTXSID8021646,train,train
DTXSID3021647,train,train
DTXSID8021648,train,train
DTXSID2021650,train,test
DTXSID2021652,train,train
DTXSID7021653,train,train
DTXSID2021654,train,train
DTXSID7021655,train,train
DTXSID2021656,train,train
DTXSID7021657,train,val
DTXSID2021658,train,test
DTXSID7021659,train,train
DTXSID6021660,test,train
DTXSID1021665,train,train
DTXSID6021666,train,train
DTXSID1021667,train,train
DTXSID6021668,train,test
DTXSID5021671,train,train
DTXSID0021672,train,train
DTXSID5021679,train,train
DTXSID4021680,train,train
DTXSID9021683,train,train
DTXSID4021684,train,test
DTXSID9021685,test,train
DTXSID4021688,train,train
DTXSID9021689,train,train
DTXSID8021690,train,val
DTXSID5021708,train,train
DTXSID0021709,train,val
DTXSID4021715,train,test
DTXSID9021716,train,train
DTXSID4021717,train,test
DTXSID9021718,train,test
DTXSID8021721,val,val
DTXSID3021726,train,train
DTXSID8021729,test,train
DTXSID2021735,train,train
DTXSID2021739,train,train
DTXSID1021740,train,train
DTXSID6021741,train,val
DTXSID1021744,val,test
DTXSID6021749,train,train
DTXSID0021751,train,train
DTXSID5021752,train,test
DTXSID5021754,train,train
DTXSID5021756,train,val
DTXSID0021757,train,train
DTXSID5021758,train,train
DTXSID0021759,train,train
DTXSID4021761,train,test
DTXSID9021762,train,train
DTXSID9021764,train,train
DTXSID4021767,train,train
DTXSID4021769,train,train
DTXSID3021770,train,train
DTXSID8021771,train,train
DTXSID3021772,train,train
DTXSID3021774,val,test
DTXSID8021775,train,train
DTXSID8021777,val,train
DTXSID3021778,val,test
DTXSID7021780,train,train
DTXSID2021781,train,train
DTXSID7021784,train,train
DTXSID7021788,train,val
DTXSID2021789,train,train
DTXSID1021790,train,train
DTXSID1021792,train,train
DTXSID6021793,train,train
DTXSID6021795,test,train
DTXSID1021798,train,train
DTXSID6021799,train,train
DTXSID8021800,train,val
DTXSID3021801,train,test
DTXSID8021802,train,train
DTXSID3021803,train,train
DTXSID8021804,train,val
DTXSID3021805,val,val
DTXSID3021807,train,train
DTXSID8021808,train,train
DTXSID2021810,train,train
DTXSID7021815,train,train
DTXSID2021816,train,train
DTXSID7021817,train,test
DTXSID2021818,train,train
DTXSID6021820,train,test
DTXSID1021821,train,train
DTXSID6021822,train,train
DTXSID1021823,train,val
DTXSID6021824,train,test
DTXSID1021827,train,train
DTXSID6021828,train,val
DTXSID5021831,train,train
DTXSID0021832,train,test
DTXSID0021834,train,train
DTXSID5021835,train,val
DTXSID5021837,train,test
DTXSID5021839,train,train
DTXSID9021841,train,train
DTXSID4021842,val,train
DTXSID9021843,train,val
DTXSID9021847,train,test
DTXSID4021848,train,train
DTXSID3021851,train,train
DTXSID3021853,train,val
DTXSID8021854,train,train
DTXSID8021856,train,train
DTXSID2021860,train,train
DTXSID7021863,train,train
DTXSID2021864,train,train
DTXSID2021866,train,test
DTXSID7021867,train,train
DTXSID2021868,train,train
DTXSID7021869,train,train
DTXSID1021871,train,train
DTXSID1021873,train,train
DTXSID6021874,train,train
DTXSID1021877,train,test
DTXSID1021879,train,test
DTXSID5021881,train,test
DTXSID5021883,train,train
DTXSID5021885,train,val
DTXSID0021886,train,train
DTXSID0021888,train,val
DTXSID5021889,train,train
DTXSID4021890,train,train
DTXSID4021892,train,train
DTXSID4021894,train,train
DTXSID9021897,train,train
DTXSID9021899,train,train
DTXSID6021901,train,val
DTXSID1021902,train,train
DTXSID1021904,train,val
DTXSID6021907,train,train
DTXSID6021909,train,train
DTXSID5021914,train,train
DTXSID0021915,train,train
DTXSID5021916,train,train
DTXSID0021917,train,train
DTXSID4021921,train,test
DTXSID9021922,train,test
DTXSID4021923,train,val
DTXSID9021924,train,train
DTXSID4021925,train,train
DTXSID9021928,train,train
DTXSID4021929,train,train
DTXSID3021930,train,train
DTXSID8021931,train,train
DTXSID3021932,train,val
DTXSID3021936,train,test
DTXSID8021937,train,test
DTXSID3021938,train,val
DTXSID8021939,train,test
DTXSID7021940,train,val
DTXSID2021941,train,train
DTXSID2021943,train,train
DTXSID7021946,train,test
DTXSID2021947,train,train
DTXSID7021948,train,test
DTXSID2021949,train,train
DTXSID1021952,val,train
DTXSID6021953,train,train
DTXSID1021956,train,train
DTXSID6021957,train,train
DTXSID1021958,train,train
DTXSID6021959,train,train
DTXSID0021961,train,train
DTXSID5021962,train,train
DTXSID0021965,train,train
DTXSID5021968,train,train
DTXSID0021969,train,train
DTXSID4021971,train,train
DTXSID9021974,train,train
DTXSID4021975,train,train
DTXSID9021976,train,train
DTXSID4021977,train,test
DTXSID4021979,train,train
DTXSID3021980,train,train
DTXSID3021982,train,test
DTXSID3021984,train,train
DTXSID3021986,train,val
DTXSID2021993,val,train
DTXSID7021994,train,train
DTXSID2021995,train,test
DTXSID7021996,train,val
DTXSID2021997,train,train
DTXSID7021998,train,train
DTXSID6022000,train,train
DTXSID1022001,train,train
DTXSID6022004,train,train
DTXSID6022006,train,test
DTXSID1022007,train,train
DTXSID6022008,train,train
DTXSID1022009,train,val
DTXSID0022010,train,train
DTXSID0022014,train,train
DTXSID0022016,val,train
DTXSID0022018,train,train
DTXSID4022020,train,train
